stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
2438,2976,Stare Żukowice - Szkoła,,50.0871231246813,21.10628382284,,,
2439,2978,Stare Żukowice - Wieś,,50.0858627076462,21.1192814643609,,,
2440,2980,Nowe Żukowice,,50.0851689807195,21.135305286626,,,
2817,5209,Nowe Żukowice Gołębin,,50.0828702454964,21.1405516141175,,,
2441,2982,Nowa Jastrząbka - Cmentarz,,50.0844579472237,21.1496521469438,,,
2442,2984,Nowa Jastrząbka - Kościół,,50.0916228462924,21.1486005024815,,,
2443,2986,Nowa Jastrząbka - Laski,,50.0990295420787,21.1461592931182,,,
2444,2988,Nowa Jastrząbka - Kraków,,50.1096461508079,21.1477698692497,,,
2445,2991,Nowa Jastrząbka - Wesoła,,50.1182474997844,21.1449959948338,,,
2404,2993,Nowa Jastrząbka - Bar,,50.1236282024463,21.1430244344692,,,
2133,5181,Zawada - Pętla,,49.97327,21.01168,,,
2134,5182,Zawada - Szkoła,,49.97906,21.01406,,,
2135,5177,Zawada - Bąbel,,49.98085,21.01011,,,
2136,5180,Zawada - Granica,,49.97923,20.99995,,,
2137,5104,Tarnowiec - ul. Zawadzka - Szkoła,,49.98134,20.98821,,,
1457,2520,Tarnowiec Kościół,,49.98598644,20.98530936,,,
1458,2521,Tarnów Tuchowska - Granica Miasta,,49.98884474,20.98535292,,,
1459,2522,Tarnów Tuchowska - Hala Tuchowska,,49.99764009,20.98622925,,,
1460,2531,Tarnów Tuchowska - Cmentarz,,50.00845786,20.98952944,,,
1461,2525,Tarnów Narutowicza - Łazienna,,50.008535409726,20.9865581989288,,,
1462,2514,Tarnów Narutowicza - Bandrowskiego,,50.00853723,20.98083396,,,
1463,2509,Tarnów Krakowska - Pl. Popiełuszki,,50.0083216599587,20.9758776426315,,,
1272,2528,Tarnów Narutowicza - Cmentarz,,50.00867531,20.98848407,,,
1273,2523,Tarnów Tuchowska -  Hala Tuchowska,,49.99829699,20.98624773,,,
1274,2519,Tarnowiec Granica,,49.98800271,20.98522045,,,
1275,2518,Tarnowiec POM,,49.98516623,20.98503402,,,
1276,2524,Tarnowiec,,49.98159355,20.98626104,,,
1277,2529,Tarnowiec Zimna Woda,,49.97671551,20.98871049,,,
1278,2535,Nowodworze,,49.97092697,20.99220898,,,
1279,2540,Nowodworze II,,49.96735123,20.99465951,,,
1280,2532,Poręba Radlna Kościół,,49.96167225,20.99068745,,,
1281,2538,Poręba Radlna Szkoła,,49.95863769,20.99376151,,,
1282,2545,Poręba Radlna,,49.95653237,21.00054814,,,
1283,2548,Poręba Radlna Pętla,,49.9552771861871,21.0056367516518,,,
1284,2552,Poręba Radlna Góra,,49.95188161,21.00934435,,,
2138,5063,Łękawka - Las,,49.94513,21.01662,,,
2139,5062,Łękawka - Kościół,,49.94725,21.02989,,,
2140,5064,Łękawka - Las,,49.94594,21.01874,,,
1285,2560,Łękawka Skrzyżowanie,,49.94453529,21.01559089,,,
1286,2554,Łękawka Parking,,49.93751439,21.01328295,,,
1287,2555,Łękawka Pętla,,49.93442667,21.01364514,,,
